Table 1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scraping ID,result_from,homeStatus,streetViewServiceUrl,moveInReady,hideZestimate,isShowcaseListing,favoriteCount,country,streetViewMetadataUrlMediaWallLatLong,price,zipPlusFour,rentZestimate,zipcode,latitude,pageUrlFragment,listingTypeDimension,isHousingConnector,livingArea,zestimateLowPercent,isUndisclosedAddress,homeType,desktopWebHdpImageLink,zestimateHighPercent,hasBadGeocode,livingAreaUnits,zestimate,brokerageName,rentalApplicationsAcceptedType,streetAddress,yearBuilt,propertyTaxRate,streetViewMetadataUrlMediaWallAddress,city,lastSoldPrice,livingAreaUnitsShort,isZillowOwned,streetViewTileImageUrlMediumLatLong,isRentalsLeadCapMet,hdpUrl,isRecentStatusChange,featuredListingTypeDimension,bedrooms,stateId,hasPublicVideo,isListingClaimedByCurrentSignedInUser,restimateLowPercent,pageViewCount,streetViewTileImageUrlMediumAddress,state,countyFIPS,cityId,abbreviatedAddress,promotionDescription,description,bathrooms,livingAreaValue,ssid,timeZone,daysOnZillow,hiResImageLink,mlsid,streetViewMetadataUrlMapLightboxAddress,timeOnZillow,listingAccountUserId,providerListingID,isCurrentSignedInUserVerifiedOwner,zpid,promotionHeadline,interactiveFloorPlanUrl,isFeatured,hasApprovedThirdPartyVirtualTourUrl,isNonOwnerOccupied,countyId,hdpTypeDimension,isCurrentSignedInAgentResponsible,longitude,brokerIdDimension,isPremierBuilder,restimateHighPercent,propertyTypeDimension,county,isPaidMultiFamilyBrokerId,tourViewCount,postingProductType,photoCount,keystoneHomeStatus,hasPromotion,lotAreaUnits,parcelId,isRentalListingOffMarket,currency
Scrape 1,property_url,FOR_RENT,https://street-view-url.prod.zgk-partner.zillowapi.com?zpid=47261133&address=2649%20Tifton%20St%20S%20%2C%20Gulfport%2C%20FL%2033711&width=512&height=234&key=AIzaSyARFMLB1na-BBWf7_R3-5YOQQaHqEJf6RQ&maxdistance=5280&lat=27.743277&lon=-82.69662&signature=V3t_yhCAdkI-HVO5R-QHHXo4IHI=,FALSE,FALSE,FALSE,8,USA,"https://maps.googleapis.com/maps/api/streetview/metadata?location=27.743277,-82.69662&key=AIzaSyARFMLB1na-BBWf7_R3-5YOQQaHqEJf6RQ&source=outdoor&signature=fV06y1hSviW-HVriMsRSVqmxdng=",4000,3644,3729,33711,27.743277,ForRent,For Rent,FALSE,1472,7,FALSE,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/67db15f0f5408ca8a8479250da8b2c21-p_h.jpg,8,FALSE,Square Feet,535300,COMPASS FLORIDA LLC,REQUEST_TO_APPLY,2649 Tifton St S,1955,0.66,https://maps.googleapis.com/maps/api/streetview/metadata?location=2649%20Tifton%20St%20S%20%2C%20Gulfport%2C%20FL%2033711&key=AIzaSyARFMLB1na-BBWf7_R3-5YOQQaHqEJf6RQ&source=outdoor&signature=jaqHhcOLAdKaMh2Tufz0SMb3N3c=,Gulfport,520000,sqft,FALSE,"https://maps.googleapis.com/maps/api/streetview?location=27.743277,-82.69662&size=400x250&key=AIzaSyARFMLB1na-BBWf7_R3-5YOQQaHqEJf6RQ&source=outdoor&signature=-ysqvQ3q9gO0jCPOqcPkgKXK0UM=",FALSE,/homedetails/2649-Tifton-St-S-Gulfport-FL-33711/47261133_zpid/,FALSE,organic,2,14,FALSE,FALSE,8,218,https://maps.googleapis.com/maps/api/streetview?location=2649%20Tifton%20St%20S%20%2C%20Gulfport%2C%20FL%2033711&size=400x250&key=AIzaSyARFMLB1na-BBWf7_R3-5YOQQaHqEJf6RQ&source=outdoor&signature=En6pZGO1SsSbfa2i1i7PiHItKtQ=,FL,12103,24990,2649 Tifton St S,,"FULLY FURNISHED single family home rental is available for IMMEDIATE move-in. This charming residence offers 2 bedrooms, 2 bathrooms, and a perfect blend of comfort, style, and a touch of whimsy. Inside, you'll discover a spacious living room, ideal for hosting gatherings or relaxation. The fully equipped kitchen, complete with modern appliances sets the stage for memorable meals and entertaining friends. The bedrooms are thoughtfully furnished to create cozy retreats, while the beautifully appointed bathrooms offer a touch of luxury. Step outside to find a well-maintained front yard that adds to the property's curb appeal, and a backyard oasis that beckons for socializing, barbecues, and enjoying the Florida sunshine. With a private circular driveway and garage, parking is a breeze no more searching for spots. Located mere steps from the heart of downtown Gulfport. Explore charming shops, discover renowned restaurants, and immerse yourself in the local arts and culture scene. Don't forget about the nearby picturesque waterfront, offering breathtaking sunsets, beach activities, and opportunities to embrace an active coastal lifestyle. Power, sewer, water, trash, cable TV, wifi, lawn care, and pest control are all included. Pets welcome. Call today and make the ""Gecko House"" your summer and/or fall home!",2,1472,17670,America/New_York,148,https://photos.zillowstatic.com/fp/67db15f0f5408ca8a8479250da8b2c21-p_f.jpg,TB8310228,https://maps.googleapis.com/maps/api/streetview/metadata?location=2649%20Tifton%20St%20S%20%2C%20Gulfport%2C%20FL%2033711&key=AIzaSyBV4lXhV-qzQOegyA3m0_AvGy9F21HIyOQ&source=outdoor&signature=euXeqTDm2nBBQMJI5wM5uE0dqRM=,148 days,X1-ZU15x7e27slxmh5_1hdln,2zchr8zrdcnpj,FALSE,47261133,,,FALSE,FALSE,FALSE,2480,ForRent,FALSE,-82.69662,For Rent,FALSE,9,Single Family,Pinellas County,FALSE,0,Standard,31,ForRent,FALSE,sqft,333116951120030180,FALSE,USD
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scraping ID,result_from,homeStatus,streetViewServiceUrl,moveInReady,hideZestimate,isShowcaseListing,country,streetViewMetadataUrlMediaWallLatLong,price,zipPlusFour,rentZestimate,zipcode,latitude,pageUrlFragment,listingTypeDimension,isHousingConnector,livingArea,zestimateLowPercent,isUndisclosedAddress,homeType,desktopWebHdpImageLink,zestimateHighPercent,hasBadGeocode,livingAreaUnits,zestimate,brokerageName,rentalApplicationsAcceptedType,streetAddress,yearBuilt,propertyTaxRate,streetViewMetadataUrlMediaWallAddress,city,lastSoldPrice,livingAreaUnitsShort,isZillowOwned,streetViewTileImageUrlMediumLatLong,isRentalsLeadCapMet,hdpUrl,isRecentStatusChange,featuredListingTypeDimension,bedrooms,stateId,hasPublicVideo,isListingClaimedByCurrentSignedInUser,restimateLowPercent,streetViewTileImageUrlMediumAddress,state,countyFIPS,cityId,abbreviatedAddress,promotionDescription,description,bathrooms,livingAreaValue,ssid,timeZone,daysOnZillow,mlsid,streetViewMetadataUrlMapLightboxAddress,hiResImageLink,timeOnZillow,listingAccountUserId,providerListingID,isCurrentSignedInUserVerifiedOwner,zpid,promotionHeadline,interactiveFloorPlanUrl,isFeatured,hasApprovedThirdPartyVirtualTourUrl,isNonOwnerOccupied,countyId,hdpTypeDimension,isCurrentSignedInAgentResponsible,longitude,brokerIdDimension,isPremierBuilder,restimateHighPercent,propertyTypeDimension,county,isPaidMultiFamilyBrokerId,postingProductType,photoCount,keystoneHomeStatus,hasPromotion,lotAreaUnits,parcelId,isRentalListingOffMarket,currency,,,
Scrape 2,property_url,FOR_RENT,https://street-view-url.prod.zgk-partner.zillowapi.com?zpid=47261133&address=2649%20Tifton%20St%20S%20%2C%20Gulfport%2C%20FL%2033711&width=512&height=234&key=AIzaSyARFMLB1na-BBWf7_R3-5YOQQaHqEJf6RQ&maxdistance=5280&lat=27.743277&lon=-82.69662&signature=V3t_yhCAdkI-HVO5R-QHHXo4IHI=,FALSE,FALSE,FALSE,USA,"https://maps.googleapis.com/maps/api/streetview/metadata?location=27.743277,-82.69662&key=AIzaSyARFMLB1na-BBWf7_R3-5YOQQaHqEJf6RQ&source=outdoor&signature=fV06y1hSviW-HVriMsRSVqmxdng=",4000,3644,3729,33711,27.743277,ForRent,For Rent,FALSE,1472,7,FALSE,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/67db15f0f5408ca8a8479250da8b2c21-p_h.jpg,8,FALSE,Square Feet,539400,COMPASS FLORIDA LLC,REQUEST_TO_APPLY,2649 Tifton St S,1955,0.66,https://maps.googleapis.com/maps/api/streetview/metadata?location=2649%20Tifton%20St%20S%20%2C%20Gulfport%2C%20FL%2033711&key=AIzaSyARFMLB1na-BBWf7_R3-5YOQQaHqEJf6RQ&source=outdoor&signature=jaqHhcOLAdKaMh2Tufz0SMb3N3c=,Gulfport,520000,sqft,FALSE,"https://maps.googleapis.com/maps/api/streetview?location=27.743277,-82.69662&size=400x250&key=AIzaSyARFMLB1na-BBWf7_R3-5YOQQaHqEJf6RQ&source=outdoor&signature=-ysqvQ3q9gO0jCPOqcPkgKXK0UM=",FALSE,/homedetails/2649-Tifton-St-S-Gulfport-FL-33711/47261133_zpid/,FALSE,organic,2,14,FALSE,FALSE,8,https://maps.googleapis.com/maps/api/streetview?location=2649%20Tifton%20St%20S%20%2C%20Gulfport%2C%20FL%2033711&size=400x250&key=AIzaSyARFMLB1na-BBWf7_R3-5YOQQaHqEJf6RQ&source=outdoor&signature=En6pZGO1SsSbfa2i1i7PiHItKtQ=,FL,12103,24990,2649 Tifton St S,,"FULLY FURNISHED single family home rental is available for IMMEDIATE move-in. This charming residence offers 2 bedrooms, 2 bathrooms, and a perfect blend of comfort, style, and a touch of whimsy. Inside, you'll discover a spacious living room, ideal for hosting gatherings or relaxation. The fully equipped kitchen, complete with modern appliances sets the stage for memorable meals and entertaining friends. The bedrooms are thoughtfully furnished to create cozy retreats, while the beautifully appointed bathrooms offer a touch of luxury. Step outside to find a well-maintained front yard that adds to the property's curb appeal, and a backyard oasis that beckons for socializing, barbecues, and enjoying the Florida sunshine. With a private circular driveway and garage, parking is a breeze no more searching for spots. Located mere steps from the heart of downtown Gulfport. Explore charming shops, discover renowned restaurants, and immerse yourself in the local arts and culture scene. Don't forget about the nearby picturesque waterfront, offering breathtaking sunsets, beach activities, and opportunities to embrace an active coastal lifestyle. Power, sewer, water, trash, cable TV, wifi, lawn care, and pest control are all included. Pets welcome. Call today and make the ""Gecko House"" your summer and/or fall home!",2,1472,17670,America/New_York,148,TB8310228,https://maps.googleapis.com/maps/api/streetview/metadata?location=2649%20Tifton%20St%20S%20%2C%20Gulfport%2C%20FL%2033711&key=AIzaSyBV4lXhV-qzQOegyA3m0_AvGy9F21HIyOQ&source=outdoor&signature=euXeqTDm2nBBQMJI5wM5uE0dqRM=,https://photos.zillowstatic.com/fp/67db15f0f5408ca8a8479250da8b2c21-p_f.jpg,148 days,X1-ZU15x7e27slxmh5_1hdln,2zchr8zrdcnpj,FALSE,47261133,,,FALSE,FALSE,FALSE,2480,ForRent,FALSE,-82.69662,For Rent,FALSE,9,Single Family,Pinellas County,FALSE,Standard,31,ForRent,FALSE,sqft,333116951120030180,FALSE,USD,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scraping ID,result_from,homeStatus,streetViewServiceUrl,moveInReady,hideZestimate,isShowcaseListing,country,streetViewMetadataUrlMediaWallLatLong,price,zipPlusFour,rentZestimate,zipcode,latitude,pageUrlFragment,listingTypeDimension,isHousingConnector,livingArea,zestimateLowPercent,isUndisclosedAddress,homeType,desktopWebHdpImageLink,zestimateHighPercent,hasBadGeocode,livingAreaUnits,zestimate,brokerageName,rentalApplicationsAcceptedType,streetAddress,yearBuilt,propertyTaxRate,streetViewMetadataUrlMediaWallAddress,city,lastSoldPrice,livingAreaUnitsShort,isZillowOwned,streetViewTileImageUrlMediumLatLong,isRentalsLeadCapMet,hdpUrl,isRecentStatusChange,featuredListingTypeDimension,bedrooms,stateId,hasPublicVideo,isListingClaimedByCurrentSignedInUser,restimateLowPercent,streetViewTileImageUrlMediumAddress,state,countyFIPS,cityId,abbreviatedAddress,promotionDescription,description,bathrooms,livingAreaValue,ssid,timeZone,daysOnZillow,mlsid,streetViewMetadataUrlMapLightboxAddress,hiResImageLink,timeOnZillow,listingAccountUserId,providerListingID,isCurrentSignedInUserVerifiedOwner,zpid,promotionHeadline,interactiveFloorPlanUrl,isFeatured,hasApprovedThirdPartyVirtualTourUrl,isNonOwnerOccupied,countyId,hdpTypeDimension,isCurrentSignedInAgentResponsible,longitude,brokerIdDimension,isPremierBuilder,restimateHighPercent,propertyTypeDimension,county,isPaidMultiFamilyBrokerId,postingProductType,photoCount,keystoneHomeStatus,hasPromotion,lotAreaUnits,parcelId,isRentalListingOffMarket,currency,,,
Scrape 3,property_url,FOR_RENT,https://street-view-url.prod.zgk-partner.zillowapi.com?zpid=47261133&address=2649%20Tifton%20St%20S%20%2C%20Gulfport%2C%20FL%2033711&width=512&height=234&key=AIzaSyARFMLB1na-BBWf7_R3-5YOQQaHqEJf6RQ&maxdistance=5280&lat=27.743277&lon=-82.69662&signature=V3t_yhCAdkI-HVO5R-QHHXo4IHI=,FALSE,FALSE,FALSE,USA,"https://maps.googleapis.com/maps/api/streetview/metadata?location=27.743277,-82.69662&key=AIzaSyARFMLB1na-BBWf7_R3-5YOQQaHqEJf6RQ&source=outdoor&signature=fV06y1hSviW-HVriMsRSVqmxdng=",4000,3644,3729,33711,27.743277,ForRent,For Rent,FALSE,1472,7,FALSE,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/67db15f0f5408ca8a8479250da8b2c21-p_h.jpg,8,FALSE,Square Feet,539400,COMPASS FLORIDA LLC,REQUEST_TO_APPLY,2649 Tifton St S,1955,0.66,https://maps.googleapis.com/maps/api/streetview/metadata?location=2649%20Tifton%20St%20S%20%2C%20Gulfport%2C%20FL%2033711&key=AIzaSyARFMLB1na-BBWf7_R3-5YOQQaHqEJf6RQ&source=outdoor&signature=jaqHhcOLAdKaMh2Tufz0SMb3N3c=,Gulfport,520000,sqft,FALSE,"https://maps.googleapis.com/maps/api/streetview?location=27.743277,-82.69662&size=400x250&key=AIzaSyARFMLB1na-BBWf7_R3-5YOQQaHqEJf6RQ&source=outdoor&signature=-ysqvQ3q9gO0jCPOqcPkgKXK0UM=",FALSE,/homedetails/2649-Tifton-St-S-Gulfport-FL-33711/47261133_zpid/,FALSE,organic,2,14,FALSE,FALSE,8,https://maps.googleapis.com/maps/api/streetview?location=2649%20Tifton%20St%20S%20%2C%20Gulfport%2C%20FL%2033711&size=400x250&key=AIzaSyARFMLB1na-BBWf7_R3-5YOQQaHqEJf6RQ&source=outdoor&signature=En6pZGO1SsSbfa2i1i7PiHItKtQ=,FL,12103,24990,2649 Tifton St S,,"FULLY FURNISHED single family home rental is available for IMMEDIATE move-in. This charming residence offers 2 bedrooms, 2 bathrooms, and a perfect blend of comfort, style, and a touch of whimsy. Inside, you'll discover a spacious living room, ideal for hosting gatherings or relaxation. The fully equipped kitchen, complete with modern appliances sets the stage for memorable meals and entertaining friends. The bedrooms are thoughtfully furnished to create cozy retreats, while the beautifully appointed bathrooms offer a touch of luxury. Step outside to find a well-maintained front yard that adds to the property's curb appeal, and a backyard oasis that beckons for socializing, barbecues, and enjoying the Florida sunshine. With a private circular driveway and garage, parking is a breeze no more searching for spots. Located mere steps from the heart of downtown Gulfport. Explore charming shops, discover renowned restaurants, and immerse yourself in the local arts and culture scene. Don't forget about the nearby picturesque waterfront, offering breathtaking sunsets, beach activities, and opportunities to embrace an active coastal lifestyle. Power, sewer, water, trash, cable TV, wifi, lawn care, and pest control are all included. Pets welcome. Call today and make the ""Gecko House"" your summer and/or fall home!",2,1472,17670,America/New_York,148,TB8310228,https://maps.googleapis.com/maps/api/streetview/metadata?location=2649%20Tifton%20St%20S%20%2C%20Gulfport%2C%20FL%2033711&key=AIzaSyBV4lXhV-qzQOegyA3m0_AvGy9F21HIyOQ&source=outdoor&signature=euXeqTDm2nBBQMJI5wM5uE0dqRM=,https://photos.zillowstatic.com/fp/67db15f0f5408ca8a8479250da8b2c21-p_f.jpg,148 days,X1-ZU15x7e27slxmh5_1hdln,2zchr8zrdcnpj,FALSE,47261133,,,FALSE,FALSE,FALSE,2480,ForRent,FALSE,-82.69662,For Rent,FALSE,9,Single Family,Pinellas County,FALSE,Standard,31,ForRent,FALSE,sqft,333116951120030180,FALSE,USD,,,
